SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10001,3,0,4,0,15
SAL10002,465,212,47,11,2023
SAL10003,566,510,263,117,3352
SAL10004,130,59,27,0,605
SAL10005,7,0,0,0,8
SAL10006,163,94,41,7,1013
SAL10007,156,81,41,7,835
SAL10008,5,16,5,0,65
SAL10009,391,186,64,11,2960
SAL10010,187,102,38,0,1028
SAL10011,28,7,0,0,146
SAL10012,4,0,0,0,19
SAL10013,8,5,0,0,25
SAL10014,276,126,38,6,1952
SAL10015,46,29,21,3,188
SAL10016,507,287,140,40,3481
SAL10017,401,333,218,60,3037
SAL10018,95,69,29,6,424
SAL10019,12,9,3,0,48
SAL10020,3,0,0,0,9
SAL10021,77,39,16,5,449
SAL10022,111,80,34,0,1086
SAL10023,23,16,8,0,96
SAL10024,11,0,0,0,33
SAL10025,1037,632,244,165,6667
SAL10026,507,411,181,73,3205
SAL10027,482,479,190,46,2892
SAL10028,105,64,23,5,1097
SAL10029,21,10,6,0,70
SAL10030,564,276,79,20,7094
SAL10031,406,216,50,7,1668
SAL10032,9,4,4,0,48
SAL10033,0,0,0,0,4
SAL10034,6,5,0,0,38
SAL10035,11,17,3,0,66
SAL10036,638,435,260,172,3970
SAL10037,7,11,0,0,39
SAL10038,412,244,114,40,3164
SAL10039,3,0,0,0,24
SAL10040,20,14,4,0,74
SAL10041,15,13,4,3,91
SAL10042,10,12,0,0,31
SAL10043,11,7,3,0,25
SAL10044,25,10,9,0,87
SAL10045,90,36,14,3,275
SAL10046,574,567,348,166,3192
SAL10047,7,5,0,4,45
SAL10048,9,0,0,0,24
SAL10049,444,324,98,16,2922
SAL10050,3,4,9,0,32
SAL10051,0,0,0,0,0
SAL10052,3,0,0,0,14
SAL10053,8,0,0,0,34
SAL10054,6,0,0,0,21
SAL10055,10,4,3,0,34
SAL10056,22,25,0,0,91
SAL10057,5,8,0,0,20
SAL10058,5,14,7,0,44
SAL10059,26,52,9,0,129
SAL10060,30,11,4,0,159
SAL10061,448,420,287,47,2219
SAL10062,886,631,223,69,6374
SAL10063,161,92,49,16,764
SAL10064,192,108,42,3,1406
SAL10065,8,3,0,0,25
SAL10066,6,5,0,0,17
SAL10067,0,0,0,0,10
SAL10068,8,14,3,0,57
SAL10069,0,0,0,0,7
SAL10070,83,72,16,12,286
SAL10071,34,26,13,0,123
SAL10072,0,0,0,0,3
SAL10073,170,132,78,13,838
SAL10074,169,96,40,11,740
SAL10075,16,6,0,0,33
SAL10076,24,32,3,0,117
SAL10077,41,32,17,0,179
SAL10078,0,0,0,0,8
SAL10079,84,58,28,10,563
SAL10080,27,16,8,0,99
SAL10081,0,3,0,0,10
SAL10082,34,63,11,9,216
SAL10083,3,3,0,0,13
SAL10084,0,3,0,0,9
SAL10085,22,6,0,0,76
